#	Freq	Err	Tansmission
    3.45800E+02    1.47001E-01    8.63293E-01
    3.45900E+02    1.47173E-01    8.63144E-01
    3.46000E+02    1.47350E-01    8.62992E-01
    3.46100E+02    1.47548E-01    8.62821E-01
    3.46200E+02    1.47730E-01    8.62664E-01
    3.46300E+02    1.47900E-01    8.62517E-01
    3.46400E+02    1.48091E-01    8.62353E-01
    3.46500E+02    1.48279E-01    8.62191E-01
    3.46600E+02    1.48487E-01    8.62011E-01
    3.46700E+02    1.48687E-01    8.61839E-01
    3.46800E+02    1.48930E-01    8.61630E-01
    3.46900E+02    1.49207E-01    8.61390E-01
    3.47000E+02    1.49332E-01    8.61283E-01
    3.47100E+02    1.49575E-01    8.61074E-01
    3.47200E+02    1.50028E-01    8.60684E-01
    3.47300E+02    1.50070E-01    8.60648E-01
    3.47400E+02    1.50189E-01    8.60546E-01
    3.47500E+02    1.50396E-01    8.60367E-01
    3.47600E+02    1.50635E-01    8.60162E-01
    3.47700E+02    1.50920E-01    8.59916E-01
    3.47800E+02    1.51524E-01    8.59397E-01
    3.47900E+02    1.51413E-01    8.59493E-01
    3.48000E+02    1.51682E-01    8.59262E-01
    3.48100E+02    1.51851E-01    8.59116E-01
    3.48200E+02    1.52090E-01    8.58911E-01
    3.48300E+02    1.52332E-01    8.58703E-01
    3.48400E+02    1.52594E-01    8.58479E-01
    3.48500E+02    1.52879E-01    8.58234E-01
    3.48600E+02    1.53226E-01    8.57936E-01
    3.48700E+02    1.53403E-01    8.57784E-01
    3.48800E+02    1.53676E-01    8.57550E-01
    3.48900E+02    1.53970E-01    8.57298E-01
    3.49000E+02    1.54530E-01    8.56818E-01
    3.49100E+02    1.54562E-01    8.56790E-01
    3.49200E+02    1.54861E-01    8.56534E-01
    3.49300E+02    1.55198E-01    8.56245E-01
    3.49400E+02    1.55604E-01    8.55898E-01
    3.49500E+02    1.56250E-01    8.55345E-01
    3.49600E+02    1.56912E-01    8.54779E-01
    3.49700E+02    1.58982E-01    8.53012E-01
    3.49800E+02    1.58831E-01    8.53140E-01
    3.49900E+02    1.57661E-01    8.54139E-01
    3.50000E+02    1.57638E-01    8.54159E-01
    3.50100E+02    1.57814E-01    8.54008E-01
    3.50200E+02    1.58082E-01    8.53779E-01
    3.50300E+02    1.58408E-01    8.53502E-01
    3.50400E+02    1.58733E-01    8.53224E-01
    3.50500E+02    1.59094E-01    8.52916E-01
    3.50600E+02    1.59480E-01    8.52587E-01
    3.50700E+02    1.59876E-01    8.52250E-01
    3.50800E+02    1.60305E-01    8.51884E-01
    3.50900E+02    1.60772E-01    8.51486E-01
    3.51000E+02    1.61216E-01    8.51108E-01
    3.51100E+02    1.61722E-01    8.50678E-01
    3.51200E+02    1.62270E-01    8.50211E-01
    3.51300E+02    1.62877E-01    8.49696E-01
    3.51400E+02    1.63584E-01    8.49095E-01
    3.51500E+02    1.64463E-01    8.48349E-01
    3.51600E+02    1.65275E-01    8.47661E-01
    3.51700E+02    1.66431E-01    8.46681E-01
    3.51800E+02    1.67986E-01    8.45366E-01
    3.51900E+02    1.70321E-01    8.43394E-01
    3.52000E+02    1.73979E-01    8.40315E-01
    3.52100E+02    1.81026E-01    8.34414E-01
    3.52200E+02    1.98827E-01    8.19692E-01
    3.52300E+02    2.99386E-01    7.41274E-01
    3.52400E+02    2.26013E-01    7.97708E-01
    3.52500E+02    2.00577E-01    8.18258E-01
    3.52600E+02    2.34730E-01    7.90785E-01
    3.52700E+02    2.00722E-01    8.18140E-01
    3.52800E+02    2.72574E-01    7.61417E-01
    3.52900E+02    1.99517E-01    8.19127E-01
    3.53000E+02    1.81901E-01    8.33684E-01
    3.53100E+02    1.76803E-01    8.37945E-01
    3.53200E+02    1.75071E-01    8.39398E-01
    3.53300E+02    1.75150E-01    8.39331E-01
    3.53400E+02    1.73332E-01    8.40858E-01
    3.53500E+02    1.73048E-01    8.41097E-01
    3.53600E+02    1.72924E-01    8.41202E-01
    3.53700E+02    1.73119E-01    8.41038E-01
    3.53800E+02    1.73256E-01    8.40922E-01
    3.53900E+02    1.73555E-01    8.40671E-01
    3.54000E+02    1.73915E-01    8.40368E-01
    3.54100E+02    1.74403E-01    8.39958E-01
    3.54200E+02    1.74917E-01    8.39527E-01
    3.54300E+02    1.75513E-01    8.39026E-01
    3.54400E+02    1.76282E-01    8.38382E-01
    3.54500E+02    1.77365E-01    8.37474E-01
    3.54600E+02    1.78476E-01    8.36544E-01
    3.54700E+02    1.80360E-01    8.34970E-01
    3.54800E+02    1.83861E-01    8.32052E-01
    3.54900E+02    1.93033E-01    8.24455E-01
    3.55000E+02    2.48301E-01    7.80125E-01
